,arch,embed_size,embedder,evaluation,replication,score,stage,task,time_of_init
0,comparator,30,wd,matching,0,0.5711346760963122,novice,cohyponyms_semantic,2018-12-09-07-36-49
1,comparator,30,wd,matching,0,0.5104509542496589,expert,cohyponyms_semantic,2018-12-09-07-36-49
2,comparator,30,wd,matching,0,0.5111759289756124,expert+rs,cohyponyms_semantic,2018-12-09-07-36-49
3,comparator,30,wd,matching,1,0.5723402669450622,novice,cohyponyms_semantic,2018-12-09-07-36-49
4,comparator,30,wd,matching,1,0.5125748730618388,expert,cohyponyms_semantic,2018-12-09-07-36-49
5,comparator,30,wd,matching,1,0.5112905678127921,expert+rs,cohyponyms_semantic,2018-12-09-07-36-49
6,comparator,30,wd,matching,0,0.5378834607818417,novice,features_has,2018-12-09-07-36-49
7,comparator,30,wd,matching,0,0.5053397815317541,expert,features_has,2018-12-09-07-36-49
8,comparator,30,wd,matching,0,0.5049931283110305,expert+rs,features_has,2018-12-09-07-36-49
9,comparator,30,wd,matching,1,0.5392113538903659,novice,features_has,2018-12-09-07-36-49
10,comparator,30,wd,matching,1,0.5036513667130781,expert,features_has,2018-12-09-07-36-49
11,comparator,30,wd,matching,1,0.5024223234759673,expert+rs,features_has,2018-12-09-07-36-49
12,comparator,30,wd,matching,0,0.500000000000002,novice,features_is,2018-12-09-07-36-49
13,comparator,30,wd,matching,0,0.5007415721329238,expert,features_is,2018-12-09-07-36-49
14,comparator,30,wd,matching,0,0.5007616146230027,expert+rs,features_is,2018-12-09-07-36-49
15,comparator,30,wd,matching,1,0.500000000000002,novice,features_is,2018-12-09-07-36-49
16,comparator,30,wd,matching,1,0.5007816571130818,expert,features_is,2018-12-09-07-36-49
17,comparator,30,wd,matching,1,0.5006213171924501,expert+rs,features_is,2018-12-09-07-36-49
18,comparator,30,wd,matching,0,0.5257639130006377,novice,nyms_syn,2018-12-09-07-36-49
19,comparator,30,wd,matching,0,0.5010814378802005,expert,nyms_syn,2018-12-09-07-36-49
20,comparator,30,wd,matching,0,0.5013180840746513,expert+rs,nyms_syn,2018-12-09-07-36-49
21,comparator,30,wd,matching,1,0.5258528631029413,novice,nyms_syn,2018-12-09-07-36-49
22,comparator,30,wd,matching,1,0.5011727034829278,expert,nyms_syn,2018-12-09-07-36-49
23,comparator,30,wd,matching,1,0.5016707481266237,expert+rs,nyms_syn,2018-12-09-07-36-49
24,comparator,30,wd,matching,0,0.5167011597318756,novice,cohyponyms_syntactic,2018-12-09-07-36-49
25,comparator,30,wd,matching,0,0.5364552690022173,expert,cohyponyms_syntactic,2018-12-09-07-36-49
26,comparator,30,wd,matching,0,0.5348394906044337,expert+rs,cohyponyms_syntactic,2018-12-09-07-36-49
27,comparator,30,wd,matching,1,0.5181207308333228,novice,cohyponyms_syntactic,2018-12-09-07-36-49
28,comparator,30,wd,matching,1,0.5384728674417952,expert,cohyponyms_syntactic,2018-12-09-07-36-49
29,comparator,30,wd,matching,1,0.5352666090826101,expert+rs,cohyponyms_syntactic,2018-12-09-07-36-49
30,comparator,30,wd,matching,0,0.5812547241119278,novice,hypernyms_None,2018-12-09-07-36-49
31,comparator,30,wd,matching,0,0.533670033670061,expert,hypernyms_None,2018-12-09-07-36-49
32,comparator,30,wd,matching,0,0.5336356764928458,expert+rs,hypernyms_None,2018-12-09-07-36-49
33,comparator,30,wd,matching,1,0.5784030784031374,novice,hypernyms_None,2018-12-09-07-36-49
34,comparator,30,wd,matching,1,0.5315398886827722,expert,hypernyms_None,2018-12-09-07-36-49
35,comparator,30,wd,matching,1,0.5319521748093436,expert+rs,hypernyms_None,2018-12-09-07-36-49
36,comparator,30,wd,matching,0,0.5104033228604326,novice,nyms_ant,2018-12-09-07-36-49
37,comparator,30,wd,matching,0,0.5011503975825541,expert,nyms_ant,2018-12-09-07-36-49
38,comparator,30,wd,matching,0,0.5008453069865894,expert+rs,nyms_ant,2018-12-09-07-36-49
39,comparator,30,wd,matching,1,0.5104033228604326,novice,nyms_ant,2018-12-09-07-36-49
40,comparator,30,wd,matching,1,0.5008941556923778,expert,nyms_ant,2018-12-09-07-36-49
41,comparator,30,wd,matching,1,0.5016321987802091,expert+rs,nyms_ant,2018-12-09-07-36-49
42,comparator,30,sg,matching,0,0.7531024653175687,novice,cohyponyms_semantic,2018-11-15-13-22-23
43,comparator,30,sg,matching,0,0.8459566996445459,expert,cohyponyms_semantic,2018-11-15-13-22-23
44,comparator,30,sg,matching,0,0.7510219803119718,expert+rs,cohyponyms_semantic,2018-11-15-13-22-23
45,comparator,30,sg,matching,1,0.7504723101800814,novice,cohyponyms_semantic,2018-11-15-13-22-23
46,comparator,30,sg,matching,1,0.8417090142927518,expert,cohyponyms_semantic,2018-11-15-13-22-23
47,comparator,30,sg,matching,1,0.7522444258591642,expert+rs,cohyponyms_semantic,2018-11-15-13-22-23
48,comparator,30,sg,matching,0,0.7067558664300687,novice,features_has,2018-11-15-13-22-23
49,comparator,30,sg,matching,0,0.7443351646821317,expert,features_has,2018-11-15-13-22-23
50,comparator,30,sg,matching,0,0.6183555181952609,expert+rs,features_has,2018-11-15-13-22-23
51,comparator,30,sg,matching,1,0.7090030338353666,novice,features_has,2018-11-15-13-22-23
52,comparator,30,sg,matching,1,0.7411551495648987,expert,features_has,2018-11-15-13-22-23
53,comparator,30,sg,matching,1,0.6189906359959813,expert+rs,features_has,2018-11-15-13-22-23
54,comparator,30,sg,matching,0,0.6242175229668921,novice,features_is,2018-11-15-13-22-23
55,comparator,30,sg,matching,0,0.674314273532638,expert,features_is,2018-11-15-13-22-23
56,comparator,30,sg,matching,0,0.5606179646304976,expert+rs,features_is,2018-11-15-13-22-23
57,comparator,30,sg,matching,1,0.6242175229668921,novice,features_is,2018-11-15-13-22-23
58,comparator,30,sg,matching,1,0.6750416337180511,expert,features_is,2018-11-15-13-22-23
59,comparator,30,sg,matching,1,0.5746039786165097,expert+rs,features_is,2018-11-15-13-22-23
60,comparator,30,sg,matching,0,0.6748154176784741,novice,nyms_syn,2018-11-15-13-22-23
61,comparator,30,sg,matching,0,0.658131556568605,expert,nyms_syn,2018-11-15-13-22-23
62,comparator,30,sg,matching,0,0.6445854037338935,expert+rs,nyms_syn,2018-11-15-13-22-23
63,comparator,30,sg,matching,1,0.6806370748130972,novice,nyms_syn,2018-11-15-13-22-23
64,comparator,30,sg,matching,1,0.6595680082035599,expert,nyms_syn,2018-11-15-13-22-23
65,comparator,30,sg,matching,1,0.6477460515382634,expert+rs,nyms_syn,2018-11-15-13-22-23
66,comparator,30,sg,matching,0,0.5722329309390948,novice,cohyponyms_syntactic,2018-11-15-13-22-23
67,comparator,30,sg,matching,0,0.7827176509056936,expert,cohyponyms_syntactic,2018-11-15-13-22-23
68,comparator,30,sg,matching,0,0.5130537969176068,expert+rs,cohyponyms_syntactic,2018-11-15-13-22-23
69,comparator,30,sg,matching,1,0.5722329309390948,novice,cohyponyms_syntactic,2018-11-15-13-22-23
70,comparator,30,sg,matching,1,0.7853086929130358,expert,cohyponyms_syntactic,2018-11-15-13-22-23
71,comparator,30,sg,matching,1,0.513427500591217,expert+rs,cohyponyms_syntactic,2018-11-15-13-22-23
72,comparator,30,sg,matching,0,0.8301381158524169,novice,hypernyms_None,2018-11-15-13-22-23
73,comparator,30,sg,matching,0,0.8208616780045481,expert,hypernyms_None,2018-11-15-13-22-23
74,comparator,30,sg,matching,0,0.7554799697657026,expert+rs,hypernyms_None,2018-11-15-13-22-23
75,comparator,30,sg,matching,1,0.8256716828145632,novice,hypernyms_None,2018-11-15-13-22-23
76,comparator,30,sg,matching,1,0.8165670308527619,expert,hypernyms_None,2018-11-15-13-22-23
77,comparator,30,sg,matching,1,0.7568542568542797,expert+rs,hypernyms_None,2018-11-15-13-22-23
78,comparator,30,sg,matching,0,0.6227255634881484,novice,nyms_ant,2018-11-15-13-22-23
79,comparator,30,sg,matching,0,0.6582689698263908,expert,nyms_ant,2018-11-15-13-22-23
80,comparator,30,sg,matching,0,0.6128372638871797,expert+rs,nyms_ant,2018-11-15-13-22-23
81,comparator,30,sg,matching,1,0.6216420444347488,novice,nyms_ant,2018-11-15-13-22-23
82,comparator,30,sg,matching,1,0.6620245366001127,expert,nyms_ant,2018-11-15-13-22-23
83,comparator,30,sg,matching,1,0.6113413409204453,expert+rs,nyms_ant,2018-11-15-13-22-23
84,comparator,200,cbow,matching,0,0.7725200144228196,novice,cohyponyms_semantic,2018-11-14-19-16-26
85,comparator,200,cbow,matching,0,0.8025068815768838,expert,cohyponyms_semantic,2018-11-14-19-16-26
86,comparator,200,cbow,matching,0,0.7558868085478749,expert+rs,cohyponyms_semantic,2018-11-14-19-16-26
87,comparator,200,cbow,matching,1,0.7725289898161031,novice,cohyponyms_semantic,2018-11-14-19-16-26
88,comparator,200,cbow,matching,1,0.7997896516806627,expert,cohyponyms_semantic,2018-11-14-19-16-26
89,comparator,200,cbow,matching,1,0.7570369255398491,expert+rs,cohyponyms_semantic,2018-11-14-19-16-26
90,comparator,200,cbow,matching,0,0.6650197983014476,novice,features_has,2018-11-14-19-16-26
91,comparator,200,cbow,matching,0,0.6333435192962344,expert,features_has,2018-11-14-19-16-26
92,comparator,200,cbow,matching,0,0.6002230289158877,expert+rs,features_has,2018-11-14-19-16-26
93,comparator,200,cbow,matching,1,0.6677354255749965,novice,features_has,2018-11-14-19-16-26
94,comparator,200,cbow,matching,1,0.6153314203080378,expert,features_has,2018-11-14-19-16-26
95,comparator,200,cbow,matching,1,0.6083869660277758,expert+rs,features_has,2018-11-14-19-16-26
96,comparator,200,cbow,matching,0,0.6018847228852668,novice,features_is,2018-11-14-19-16-26
97,comparator,200,cbow,matching,0,0.5419995845738712,expert,features_is,2018-11-14-19-16-26
98,comparator,200,cbow,matching,0,0.5509141197520853,expert+rs,features_is,2018-11-14-19-16-26
99,comparator,200,cbow,matching,1,0.6018847228852668,novice,features_is,2018-11-14-19-16-26
100,comparator,200,cbow,matching,1,0.5456564279910061,expert,features_is,2018-11-14-19-16-26
101,comparator,200,cbow,matching,1,0.5527230455839381,expert+rs,features_is,2018-11-14-19-16-26
102,comparator,200,cbow,matching,0,0.6615632034273309,novice,nyms_syn,2018-11-14-19-16-26
103,comparator,200,cbow,matching,0,0.6196624243917606,expert,nyms_syn,2018-11-14-19-16-26
104,comparator,200,cbow,matching,0,0.6175076101298482,expert+rs,nyms_syn,2018-11-14-19-16-26
105,comparator,200,cbow,matching,1,0.6651226679610573,novice,nyms_syn,2018-11-14-19-16-26
106,comparator,200,cbow,matching,1,0.6156015052381058,expert,nyms_syn,2018-11-14-19-16-26
107,comparator,200,cbow,matching,1,0.6182810317311966,expert+rs,nyms_syn,2018-11-14-19-16-26
108,comparator,200,cbow,matching,0,0.6505465662008725,novice,cohyponyms_syntactic,2018-11-14-19-16-26
109,comparator,200,cbow,matching,0,0.7388151287730426,expert,cohyponyms_syntactic,2018-11-14-19-16-26
110,comparator,200,cbow,matching,0,0.5603756811878071,expert+rs,cohyponyms_syntactic,2018-11-14-19-16-26
111,comparator,200,cbow,matching,1,0.6502707791773292,novice,cohyponyms_syntactic,2018-11-14-19-16-26
112,comparator,200,cbow,matching,1,0.7467741531266976,expert,cohyponyms_syntactic,2018-11-14-19-16-26
113,comparator,200,cbow,matching,1,0.5585282954568289,expert+rs,cohyponyms_syntactic,2018-11-14-19-16-26
114,comparator,200,cbow,matching,0,0.8245378959664829,novice,hypernyms_None,2018-11-14-19-16-26
115,comparator,200,cbow,matching,0,0.8057788772074659,expert,hypernyms_None,2018-11-14-19-16-26
116,comparator,200,cbow,matching,0,0.8008658008658227,expert+rs,hypernyms_None,2018-11-14-19-16-26
117,comparator,200,cbow,matching,1,0.8235415378272717,novice,hypernyms_None,2018-11-14-19-16-26
118,comparator,200,cbow,matching,1,0.8054353054353205,expert,hypernyms_None,2018-11-14-19-16-26
119,comparator,200,cbow,matching,1,0.7939600082457416,expert+rs,hypernyms_None,2018-11-14-19-16-26
120,comparator,200,cbow,matching,0,0.6435824312739977,novice,nyms_ant,2018-11-14-19-16-26
121,comparator,200,cbow,matching,0,0.6196962247681388,expert,nyms_ant,2018-11-14-19-16-26
122,comparator,200,cbow,matching,0,0.5974817917874082,expert+rs,nyms_ant,2018-11-14-19-16-26
123,comparator,200,cbow,matching,1,0.6436644861000943,novice,nyms_ant,2018-11-14-19-16-26
124,comparator,200,cbow,matching,1,0.6238193504542167,expert,nyms_ant,2018-11-14-19-16-26
125,comparator,200,cbow,matching,1,0.5992859290847591,expert+rs,nyms_ant,2018-11-14-19-16-26
126,comparator,200,ww,matching,0,0.6414580110268769,novice,cohyponyms_semantic,2018-12-08-22-00-00
127,comparator,200,ww,matching,0,0.5234136573110717,expert,cohyponyms_semantic,2018-12-08-22-00-00
128,comparator,200,ww,matching,0,0.5171799906017212,expert+rs,cohyponyms_semantic,2018-12-08-22-00-00
129,comparator,200,ww,matching,1,0.6422190610904572,novice,cohyponyms_semantic,2018-12-08-22-00-00
130,comparator,200,ww,matching,1,0.522867880418351,expert,cohyponyms_semantic,2018-12-08-22-00-00
131,comparator,200,ww,matching,1,0.5172901755806077,expert+rs,cohyponyms_semantic,2018-12-08-22-00-00
132,comparator,200,ww,matching,0,0.5503035487753443,novice,features_has,2018-12-08-22-00-00
133,comparator,200,ww,matching,0,0.5087092933278822,expert,features_has,2018-12-08-22-00-00
134,comparator,200,ww,matching,0,0.5066584683239042,expert+rs,features_has,2018-12-08-22-00-00
135,comparator,200,ww,matching,1,0.5503035487753443,novice,features_has,2018-12-08-22-00-00
136,comparator,200,ww,matching,1,0.5110619202676419,expert,features_has,2018-12-08-22-00-00
137,comparator,200,ww,matching,1,0.5100649824301071,expert+rs,features_has,2018-12-08-22-00-00
138,comparator,200,ww,matching,0,0.5135888082735784,novice,features_is,2018-12-08-22-00-00
139,comparator,200,ww,matching,0,0.5157825499149225,expert,features_is,2018-12-08-22-00-00
140,comparator,200,ww,matching,0,0.5024338871134101,expert+rs,features_is,2018-12-08-22-00-00
141,comparator,200,ww,matching,1,0.5158940590415433,novice,features_is,2018-12-08-22-00-00
142,comparator,200,ww,matching,1,0.5137582584169468,expert,features_is,2018-12-08-22-00-00
143,comparator,200,ww,matching,1,0.5014740340430829,expert+rs,features_is,2018-12-08-22-00-00
144,comparator,200,ww,matching,0,0.5810126592409709,novice,nyms_syn,2018-12-08-22-00-00
145,comparator,200,ww,matching,0,0.5000000000000614,expert,nyms_syn,2018-12-08-22-00-00
146,comparator,200,ww,matching,0,0.5000000000000614,expert+rs,nyms_syn,2018-12-08-22-00-00
147,comparator,200,ww,matching,1,0.5815438665021168,novice,nyms_syn,2018-12-08-22-00-00
148,comparator,200,ww,matching,1,0.5000403690567006,expert,nyms_syn,2018-12-08-22-00-00
149,comparator,200,ww,matching,1,0.5016518273758824,expert+rs,nyms_syn,2018-12-08-22-00-00
150,comparator,200,ww,matching,0,0.5512130037399374,novice,cohyponyms_syntactic,2018-12-08-22-00-00
151,comparator,200,ww,matching,0,0.5632737296445018,expert,cohyponyms_syntactic,2018-12-08-22-00-00
152,comparator,200,ww,matching,0,0.5089284336265797,expert+rs,cohyponyms_syntactic,2018-12-08-22-00-00
153,comparator,200,ww,matching,1,0.5512130037399374,novice,cohyponyms_syntactic,2018-12-08-22-00-00
154,comparator,200,ww,matching,1,0.5529421215025883,expert,cohyponyms_syntactic,2018-12-08-22-00-00
155,comparator,200,ww,matching,1,0.5186499761960712,expert+rs,cohyponyms_syntactic,2018-12-08-22-00-00
156,comparator,200,ww,matching,0,0.65089672232534,novice,hypernyms_None,2018-12-08-22-00-00
157,comparator,200,ww,matching,0,0.5357314643028994,expert,hypernyms_None,2018-12-08-22-00-00
158,comparator,200,ww,matching,0,0.5263519549234016,expert+rs,hypernyms_None,2018-12-08-22-00-00
159,comparator,200,ww,matching,1,0.6498660070089104,novice,hypernyms_None,2018-12-08-22-00-00
160,comparator,200,ww,matching,1,0.5360406788978358,expert,hypernyms_None,2018-12-08-22-00-00
161,comparator,200,ww,matching,1,0.5238782381639785,expert+rs,hypernyms_None,2018-12-08-22-00-00
162,comparator,200,ww,matching,0,0.5400088196922365,novice,nyms_ant,2018-12-08-22-00-00
163,comparator,200,ww,matching,0,0.5012028929038109,expert,nyms_ant,2018-12-08-22-00-00
164,comparator,200,ww,matching,0,0.5002989005160525,expert+rs,nyms_ant,2018-12-08-22-00-00
165,comparator,200,ww,matching,1,0.5359465857093487,novice,nyms_ant,2018-12-08-22-00-00
166,comparator,200,ww,matching,1,0.5000000000000285,expert,nyms_ant,2018-12-08-22-00-00
167,comparator,200,ww,matching,1,0.5008737832672943,expert+rs,nyms_ant,2018-12-08-22-00-00
168,comparator,200,lstm,matching,0,0.7005567386885134,novice,cohyponyms_semantic,2018-11-29-13-43-40
169,comparator,200,lstm,matching,0,0.7400562775632791,expert,cohyponyms_semantic,2018-11-29-13-43-40
170,comparator,200,lstm,matching,0,0.6775920737345305,expert+rs,cohyponyms_semantic,2018-11-29-13-43-40
171,comparator,200,lstm,matching,1,0.7027785774501002,novice,cohyponyms_semantic,2018-11-29-13-43-40
172,comparator,200,lstm,matching,1,0.7422219551837972,expert,cohyponyms_semantic,2018-11-29-13-43-40
173,comparator,200,lstm,matching,1,0.6784084371513688,expert+rs,cohyponyms_semantic,2018-11-29-13-43-40
174,comparator,200,lstm,matching,0,0.6033028958350446,novice,features_has,2018-11-29-13-43-40
175,comparator,200,lstm,matching,0,0.6157740316725824,expert,features_has,2018-11-29-13-43-40
176,comparator,200,lstm,matching,0,0.5059891809259035,expert+rs,features_has,2018-11-29-13-43-40
177,comparator,200,lstm,matching,1,0.6033028958350446,novice,features_has,2018-11-29-13-43-40
178,comparator,200,lstm,matching,1,0.6134086575255249,expert,features_has,2018-11-29-13-43-40
179,comparator,200,lstm,matching,1,0.5134176749944166,expert+rs,features_has,2018-11-29-13-43-40
180,comparator,200,lstm,matching,0,0.5598472397847551,novice,features_is,2018-11-29-13-43-40
181,comparator,200,lstm,matching,0,0.6368832834700755,expert,features_is,2018-11-29-13-43-40
182,comparator,200,lstm,matching,0,0.5049654358148401,expert+rs,features_is,2018-11-29-13-43-40
183,comparator,200,lstm,matching,1,0.5579956781103506,novice,features_is,2018-11-29-13-43-40
184,comparator,200,lstm,matching,1,0.6430275821104654,expert,features_is,2018-11-29-13-43-40
185,comparator,200,lstm,matching,1,0.5081547425997688,expert+rs,features_is,2018-11-29-13-43-40
186,comparator,200,lstm,matching,0,0.6538728656336557,novice,nyms_syn,2018-11-29-13-43-40
187,comparator,200,lstm,matching,0,0.6037899768752593,expert,nyms_syn,2018-11-29-13-43-40
188,comparator,200,lstm,matching,0,0.59911918843088,expert+rs,nyms_syn,2018-11-29-13-43-40
189,comparator,200,lstm,matching,1,0.6568100214748728,novice,nyms_syn,2018-11-29-13-43-40
190,comparator,200,lstm,matching,1,0.6038199791937673,expert,nyms_syn,2018-11-29-13-43-40
191,comparator,200,lstm,matching,1,0.6015046155892686,expert+rs,nyms_syn,2018-11-29-13-43-40
192,comparator,200,lstm,matching,0,0.6282124237421789,novice,cohyponyms_syntactic,2018-11-29-13-43-40
193,comparator,200,lstm,matching,0,0.7551742745295695,expert,cohyponyms_syntactic,2018-11-29-13-43-40
194,comparator,200,lstm,matching,0,0.5666550367424279,expert+rs,cohyponyms_syntactic,2018-11-29-13-43-40
195,comparator,200,lstm,matching,1,0.6262277999185215,novice,cohyponyms_syntactic,2018-11-29-13-43-40
196,comparator,200,lstm,matching,1,0.7590697042129951,expert,cohyponyms_syntactic,2018-11-29-13-43-40
197,comparator,200,lstm,matching,1,0.5634928432826781,expert+rs,cohyponyms_syntactic,2018-11-29-13-43-40
198,comparator,200,lstm,matching,0,0.7359650931079822,novice,hypernyms_None,2018-11-29-13-43-40
199,comparator,200,lstm,matching,0,0.7780526351955124,expert,hypernyms_None,2018-11-29-13-43-40
200,comparator,200,lstm,matching,0,0.6755651755652008,expert+rs,hypernyms_None,2018-11-29-13-43-40
201,comparator,200,lstm,matching,1,0.736652236652271,novice,hypernyms_None,2018-11-29-13-43-40
202,comparator,200,lstm,matching,1,0.7759912045626527,expert,hypernyms_None,2018-11-29-13-43-40
203,comparator,200,lstm,matching,1,0.6763553906411297,expert+rs,hypernyms_None,2018-11-29-13-43-40
204,comparator,200,lstm,matching,0,0.6330550876193031,novice,nyms_ant,2018-11-29-13-43-40
205,comparator,200,lstm,matching,0,0.6013426863661235,expert,nyms_ant,2018-11-29-13-43-40
206,comparator,200,lstm,matching,0,0.5550274824166012,expert+rs,nyms_ant,2018-11-29-13-43-40
207,comparator,200,lstm,matching,1,0.6344340319442623,novice,nyms_ant,2018-11-29-13-43-40
208,comparator,200,lstm,matching,1,0.5996532153976646,expert,nyms_ant,2018-11-29-13-43-40
209,comparator,200,lstm,matching,1,0.5517181330472296,expert+rs,nyms_ant,2018-11-29-13-43-40
210,comparator,200,srn,matching,0,0.7049970433514434,novice,cohyponyms_semantic,2018-12-02-03-06-41
211,comparator,200,srn,matching,0,0.7212790707309105,expert,cohyponyms_semantic,2018-12-02-03-06-41
212,comparator,200,srn,matching,0,0.6699840167762128,expert+rs,cohyponyms_semantic,2018-12-02-03-06-41
213,comparator,200,srn,matching,1,0.7051052318677726,novice,cohyponyms_semantic,2018-12-02-03-06-41
214,comparator,200,srn,matching,1,0.7206588092314461,expert,cohyponyms_semantic,2018-12-02-03-06-41
215,comparator,200,srn,matching,1,0.6687279802663542,expert+rs,cohyponyms_semantic,2018-12-02-03-06-41
216,comparator,200,srn,matching,0,0.5964076599385579,novice,features_has,2018-12-02-03-06-41
217,comparator,200,srn,matching,0,0.6116892008964911,expert,features_has,2018-12-02-03-06-41
218,comparator,200,srn,matching,0,0.5299502717280227,expert+rs,features_has,2018-12-02-03-06-41
219,comparator,200,srn,matching,1,0.5920893664213378,novice,features_has,2018-12-02-03-06-41
220,comparator,200,srn,matching,1,0.6108244563198324,expert,features_has,2018-12-02-03-06-41
221,comparator,200,srn,matching,1,0.5141540622753435,expert+rs,features_has,2018-12-02-03-06-41
222,comparator,200,srn,matching,0,0.5826829241628871,novice,features_is,2018-12-02-03-06-41
223,comparator,200,srn,matching,0,0.6450821195480119,expert,features_is,2018-12-02-03-06-41
224,comparator,200,srn,matching,0,0.5042398976739804,expert+rs,features_is,2018-12-02-03-06-41
225,comparator,200,srn,matching,1,0.5826829241628871,novice,features_is,2018-12-02-03-06-41
226,comparator,200,srn,matching,1,0.6451921710389941,expert,features_is,2018-12-02-03-06-41
227,comparator,200,srn,matching,1,0.5027680500843628,expert+rs,features_is,2018-12-02-03-06-41
228,comparator,200,srn,matching,0,0.6439100163841993,novice,nyms_syn,2018-12-02-03-06-41
229,comparator,200,srn,matching,0,0.5811616892254976,expert,nyms_syn,2018-12-02-03-06-41
